order,id,age,sex,ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,condition,round,age_cat,X,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,itemred,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50
1,,NA,,,,,,,,NA,,understanding_check,name a country in europe,name a make of car,name a type of weather,name an important person from history,name a brand of chocolate bar,name a country you might go to on holiday,name a political party,name a drink ordered at a bar,name any year (past present or future),name a type of insect,name a city,name something people might do on holiday,name a way of getting fit,name a magazine,name a date in the year (dd/mm),name a television channel or streaming service,name a newspaper,name a whole number,name a mountain,name a computer game,name a supermarket chain,name a sports person (of any sport),name an item of clothing,name a country in africa,name a musical band or artist,name a landmark,name a houseplant,name something that might be found on the beach,name a flower,name a part of a car,name something red,name a subject you might study at school,name a typical celebration,name a song,name something that happens at parties,name a sport,name a popular dance,name a brand of clothing,suggest any girl's name,name a river,name a household chore,name a book,name a building,name a film,name a foreign currency,name something that might be found in a bathroom,name a job or profession,name something that might be found in the garden,name a food that you eat standing up,name a breed of dog,name something people might do on a night out
2,,NA,,,,,,,,NA,,,europe,car,weather,history,chocolate,holiday,political,drink_bar,year,insect,city,people_holiday,fit,magazine,date,tv,newspaper,number,mountain,computer_game,supermarket,player,clothing,africa,music_artist,landmark,houseplant,beach,flower,car_part,na,subject,celebration,song,party,sport,dance,clothing_brand,girl,river,chore,book,building,film,currency,bathroom,job,garden,food_standing,dog,night_out
3,555b4c66fdf99b19786e3fa8,29,male,white,uk,uk,uk,English,within,1,younger,,uk,ford,rainy,churchill,cadbury milk,spain,labour,beer,2022,ladybug,london,skiing,jogging,hello!,25-Dec,bbc one,guardian,1,kilimanjaro,fortnite,tesco,harry kane,top,nigeria,beatles,london eye,monstera,sand,rose,exhaust,na,math,party,don't look back in anger,drinking_party,football,macarena,lacoste,mary,thames,laundry,harry potter,big ben,avengers,euro,toilet brush,teacher,clothes line,ice cream,british bull dog,drinking_out
4,555b4c66fdf99b19786e3fa8,29,male,white,uk,uk,uk,English,between,2,younger,,uk,ford,rainy,churchill,cadbury milk,spain,labour,martini,2022,ladybug,london,swimming,jogging,hello!,25-Dec,bbc one,independent,1,kilimanjaro,pong,asda,harry kane,top,nigeria,beatles,london eye,monstera,parasol,rose,seatbelt,na,math,cheers,yesterday,drinking_party,football,cha cha slide,tommy hilfiger,elizabeth,thames,laundry,of mice and men,big ben,matrix,euro,toilet brush,train driver,shed,ice cream,british bull dog,drinking_out
5,55e9aa1c735c45001043fbb6,64,female,white,uk,uk,uk,English,between,1,older,,uk,mazda,sunny,hitler,galaxy,spain,labour,beer,2000,spider,paris,sunbathing,workout at the gym,ok!,25-Dec,netflix,daily mirror,20,snowdonia,crash bandicoot,tesco,gareth bale,top,kenya,ed sheeran,big ben,spider plant,sand,rose,engine,na,english,christmas,shallow,dancing,football,jive,nike,olivia,thames,washing up,lady chatterleys lover,shard,titanic,euro,shampoo,builder,grass,hotdog,poodle,drinking_out
6,55e9aa1c735c45001043fbb6,64,female,white,uk,uk,uk,English,within,2,older,,spain,volvo,sunny,churchill,mars,usa,conservative,gin,1960,spider,london,sunbathing,jogging,thats life,25-Dec,netflix,daily mail,50,everest,resident evil,sainsbury's,gareth bale,top,egypt,take that,big ben,rubber plant,sea,rose,engine,na,math,christmas,my heart will go on,drinking_party,football,salsa,nike,laura,thames,vacuuming,jane eyre,buckingham palace,dirty dancing,euro,soap,plumber,patio,chips,boxer,drinking_out
7,5641c95d17bdbe00102a0b51,58,female,white,United States,uk,uk,English,within,1,older,,france,ford,rainy,churchill,cadbury milk,spain,labour,beer,2000,moth,london,sunbathing,walking,women's weekly,25-Dec,bbc one,the sun,10,ben nevis,solitaire,asda,ferdinand,trousers,kenya,beatles,big ben,aspidistra ,sand,daffodils ,engine,na,english,anniversary,god save the queen,dancing,football,waltz,m&s,emily,thames,washing up,paddington,house of parliament,here to eternity,euro,toilet,plumber,grass,candy floss,jack russell,drinking_out
8,5641c95d17bdbe00102a0b51,58,female,white,United States,uk,uk,English,between,2,older,,germany,ford,rainy,the queen,kit kat,spain,labour,gin,2022,butterfly,manchester,hiking,running,the times,25-Dec,netflix,metro,100,matterhorn,call of duty,aldi,beckham,top,kenya,adele,london eye,cactus,sand,rose,steering wheel,na,math,birthday,all i want for christmas is you,drinking_party,football,macarena,levi's,emily,thames,laundry,bible,big ben,top gun,euro,shower,banker,chairs,burritos,collie,drinking_out
9,566763253045cd0005bfedaf,65,Male,white,uk,uk,uk,English,within,1,older,,uk,ford,snowy,churchill,cadbury milk,usa,conservative,beer,2022,ant,london,sunbathing,jogging,private eye,25-Dec,bbc,the sun,18,everest,space invaders,tesco,harry kane,jeans,kenya,slade,house of parliament,rose,sand,daffodils ,wheel,na,math,new year,you will never walk alone,drinking_party,football,waltz,levi's,elizabeth,thames,washing up,bible,tower of london,raiders of the lost ark,american dollar,bath,engine driver,plants,steak pie,greyhound,drinking_out
10,566763253045cd0005bfedaf,65,Male,white,uk,uk,uk,English,between,2,older,,uk,ford,snowy,churchill,mars,spain,labour,beer,2022,ant,london,sunbathing,jogging,radio times,25-Dec,netflix,the sun,18,everest,minecraft,tesco,messi,tshirt,south africa,fleetwood mac,tower bridge,rose,sand,daffodils ,engine,na,math,hug,its begining to feel like christmas,drinking_party,football,waltz,levi's,jane,thames,washing up,harry potter,house of parliament,home alone,american dollar,bath,train driver,plants,burger,jack russell,drinking_out
